,web-scraper-order,web-scraper-start-url,name,address,description,review_cat,price,no_reviews,Latitude,Longitude,total_distance,distance_score,no_reviews_num
28,1732027456-29,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,Statthotel,"Schneggengasse 8, Zurich, Switzerland","Statthotel Zurich hotel offers 13 rooms in the vicinity of Lake Zurich, merely 8 minutes' walk away. Featuring a cash machine and a lift throughout the property, this hotel is…",Good,182 CHF,(1378 reviews),47.37233695,8.543175279,10.935627541350415,5,1378
29,1732027456-30,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,Swiss Star Tower - Self Check-In,"Friesstrasse 8, Zurich, Switzerland","Swiss Star Tower - Self Check-In Apartment features convenient proximity to such city attractions as Ohne Titel Sculpture, situated 5 minutes' walk away. Wi-Fi is provided for both business…",Average,112 CHF,(2227 reviews),47.4140474,8.546997663,13.915779867350553,2,2227
30,1732027456-31,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,Swiss Star Zurich University - Self Check-In,"Universitaetstrasse 80\/82, Zurich, Switzerland","Swiss Star Zurich University - Self Check-In, located in the Oberstrass district, within 20 minutes' walk of Wasserkirche Reformed Church, features views of the city. Guests can make use of…",Average,158 CHF,(911 reviews),47.3826103,8.5483744,11.51275092535063,4,911
31,1732027456-32,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,Cozy Urban Studio In The City Be31,"Bertastrasse 15, Zurich, Switzerland","Situated in the Wiedikon district, 1-room Cozy Urban Studio In The City Be31 offers Wi-Fi and a car park nearby. Hive is around a 15-minute walk from…",Good,149 CHF,(6 reviews),47.37500035,8.515815823,12.86627974735039,3,6
32,1732027456-34,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,City Flat,"Zaehringerplatz, 8001 Zuerich, Zurich, Switzerland",City Flat Apartment is located about a 15-minute walk from Swiss National Museum and about a 25-minute walk from Flussbad Oberer Letten Outdoor Swimming Pool. This apartment offers…,Excellent,402 CHF,(1 review),47.3735316,8.544989862,10.979927585350396,5,1
33,1732027456-35,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,"Modernes Appartement ""Mayfair"" Zuerich Balgrist & Spital","Russenweg 8, Zurich, Switzerland",The 60 m² Mayfair Apartment is located approximately 2 km from Museum of Art and a 10-minute drive from Rote Fabrik Factory.,Excellent,217 CHF,(4 reviews),47.3568679,8.572198903,13.219352335350573,2,4
34,1732027456-40,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,Le Bijou Lq80 Jacuzzi Penthouse,"80 Limmatquai, Zurich, Switzerland",The spacious 188 m² Le Bijou Lq80 Jacuzzi Penthouse Apartment is about 5 minutes by car from Polybahn and boasts spa facilities such as a hot tub. Limmat River is…,Acceptable,1022 CHF,(1 review),47.37337715,8.54309149,10.951144545350484,5,1
37,1732027458-43,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Hotel Schweizerhof Zuerich,"Bahnhofplatz 7, Zurich, Switzerland","Located in the heart of Zurich, Hotel Schweizerhof Zurich offers renovated rooms, just 0.6 km from Limmatquai Street. This superior hotel features both high-speed Internet access in the rooms…",Excellent,353 CHF,(1547 reviews),47.3769479,8.5394468,11.15061972535032,4,1547
38,1732027458-44,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Widder Hotel - Zurichs Luxury Hideaway,"Rennweg 7, Zurich, Switzerland","Located only a 12-minute walk from Swiss National Museum, the 5-star Widder Hotel - Zurichs Luxury Hideaway features a currency exchange and a lift. The traditional hotel lies in…",Excellent,583 CHF,(329 reviews),47.3724404,8.5398562,11.009227525350472,4,329
39,1732027458-45,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Townhouse Boutique Hotel,"Schuetzengasse 7, Zurich, Switzerland","Situated in the Old Town district of Zurich, the 3-star Townhouse Boutique Hotel gives access to entertainment venues like Urania Observatory, a mere 350 metres away. This Zurich hotel…",Excellent,244 CHF,(2041 reviews),47.376189,8.540024161,11.092279719350326,4,2041
42,1732027458-48,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Gasthaus Zum Guten Glueck,"Stationsstrasse 7, Zurich, Switzerland","Featuring Wi-Fi throughout the property, Gasthaus Zum Guten Gluck Zurich hotel sits within 25 minutes' walk of Lake Zurich.",Excellent,90 CHF,(1915 reviews),47.3727169,8.519837519,12.47898960535046,3,1915
43,1732027458-49,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Exclusive One Room Apartment Next To Zuerich Main Station,"7 Hafnerstrasse, Zurich, Switzerland","Located just 600 metres from Swiss National Historical Museum and Museum of Design, the 30 m² Exclusive One Room Apartment Next To Zurich Main features views of the city.",Excellent,318 CHF,(70 reviews),47.3807083,8.534444808,11.677875365350548,4,70
44,1732027458-50,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Many'S Historical City Central Apartments,"7 Beckenhofstrasse, Zurich, Switzerland","Many'S Historical City Central Apartments Zurich hotel is situated within 5 minutes' walk of the regenerated Platzspitz park and provides airport shuttle service, along with bicycles for rent. This…",Excellent,177 CHF,(33 reviews),47.3833324,8.541615953,11.42200028935045,4,33
45,1732027458-51,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Senioren-Residenz Segeten,"Carl-Spitteler-Strasse 70, Zurich, Switzerland","Offering a terrace and a garden, Senioren-Residenz Segeten hotel is situated in Zurich, 3 km from Parkanlage Zuerihorn. This aparthotel also provides Wi-Fi available throughout the property.",Excellent,270 CHF,(88 reviews),47.35537275,8.594163008,14.849501217350396,1,88
46,1732027458-52,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=7,Wohnung Im Trendquartier Zentral - 24-7 Check-In With Keybox,"50 Turbinenstrasse, Zurich, Switzerland","Situated a 6-minute walk from Helsinki Live Music Venue, the spacious 1-bedroom Wohnung Im Trendquartier Zentral - 24-7 Check-In With Keybox offers proximity to various nearby tourist…",Excellent,153 CHF,(39 reviews),47.3867434,8.5140974,13.65569632535037,2,39
47,1732027461-53,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,The Dolder Grand - City And Spa Resort Zurich,"Kurhausstrasse 65, Zurich, Switzerland","Offering cars for rent, The Dolder Grand - City And Spa Resort Zurich is around a 25-minute walk from Bahnhofstrasse. Guests can relax in an indoor pool or benefit from…",Excellent,569 CHF,(556 reviews),47.37276845,8.573080642,12.600645065350498,3,556
48,1732027461-54,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Ibis Styles Zurich City Center,"Stampfenbachstrasse 60, Zurich, Switzerland",The welcoming 3-star Ibis Styles Zurich City Center hotel is merely 500 metres from Swiss National Museum and features a cash machine and a lift. The designer hotel is…,Good,158 CHF,(7807 reviews),47.38124125,8.542624527,11.28953661735057,4,7807
49,1732027461-55,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Motel One Zuerich,"Stockerstrasse 61, Zurich, Switzerland","Nestled in the Old Town district of Zurich, the 3-star Motel One Zurich is just 1.5 km from such cultural places of interest as Zurich Opera House. The motel…",Excellent,182 CHF,(9769 reviews),47.36930115,8.533735615,11.441687515350502,4,9769
50,1732027461-56,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Small Luxury Hotel Ambassador Zurich,"Falkenstrasse 6, Zurich, Switzerland","Featuring a bureau de change and a lift, Small Luxury Hotel Ambassador Zurich is 16 minutes on foot from Lindenhof hill. This 4-star hotel features cars for rent, as…",Excellent,383 CHF,(520 reviews),47.3643402,8.547007943,11.275451587350378,4,520
51,1732027461-57,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Boutique Hotel Seefeld,"Seefeldstrasse 63, Zurich, Switzerland","Featuring a fitness centre and a courtyard, Sorell Hotel Seefeld is located right in the centre of Zurich, around a 20-minute walk from Lindenhof hill. This perfect hotel offers…",Excellent,238 CHF,(2037 reviews),47.3616254,8.551378302,11.631093229350329,4,2037
52,1732027461-58,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Hotel St. Josef,"Hirschengraben 64/68, Zurich, Switzerland","Providing 45 rooms, the 3-star Hotel St. Josef Zurich is situated at a distance of 0.8 km from Limmat. Wi-Fi is featured throughout the property and a currency…",Excellent,183 CHF,(2019 reviews),47.3709427,8.547061249,11.028263391350444,4,2019
53,1732027461-59,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Hotel Gregory,"Schoeneggstrasse 6, Zurich, Switzerland","Situated nearly a 20-minute walk from Beyer Clock and Watch Museum, the 2-star Hotel Gregory Zurich features Wi-Fi throughout the property, and public parking on site. This…",Good,85 CHF,(1301 reviews),47.3799829,8.5273266,12.1648603253505,3,1301
54,1732027461-60,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,The Henry Self Check-In Guesthouse,"Heinrichstrasse 68, Zurich, Ch, Zurich, Switzerland","Located right in the centre of Zurich, the 3-star The Henry Self Check-In Guesthouse lies within reach of family attractions like Zoo Zurich, 3.4 km away. This smoke…",Good,163 CHF,(3431 reviews),47.3841924,8.530784132,12.155192157350566,3,3431
55,1732027461-61,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Aparthotel Adagio Zurich City Center,"Stampfenbachstrasse 60, Zurich, Switzerland","Offering a restaurant and luggage storage, the 4-star Aparthotel Adagio Zurich City Center lies in the Unterstrass district, within a 10-minute drive of Zoo Zurich and a mere…",Good,196 CHF,(2624 reviews),47.38124125,8.542624527,11.28953661735057,4,2624
56,1732027461-62,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Residence Mutschellen,"Mutschellenstrasse 6, Zurich, Ch, Zurich, Switzerland","Residence Mutschellen is situated at a 350-metre distance from Sherly's Kitchen and 15 km from Kloten airport. 2.5 km from St. Peter Church, this apartment welcomes guests with a…",Good,135 CHF,(1267 reviews),47.35429435,8.526745003,12.777641597350136,3,1267
57,1732027461-63,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Stay2Night City Center Hostel,"60 Kernstrasse, Zurich, Switzerland","Situated around a 5-minute stroll from Europaallee Street, Stay2Night City Center Hostel offers a terrace for guests to unwind. Offering baggage storage, the hostel is a 5-minute ride…",Average,35 CHF,(1256 reviews),47.3780014,8.5261636,12.141647525350525,3,1256
58,1732027461-64,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Self Service Hotel Kernhof Langstrasse,"Kernstrasse 67, Zurich, Switzerland","Offering location 5 minutes' walk from Drugstore Zurich GmbH, Self Service Hotel Kernhof Langstrasse Zurich offers 13 rooms. This hotel also includes a car park.",Good,161 CHF,(1353 reviews),47.378537,8.5265179,12.141829525350513,3,1353
59,1732027461-65,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,The Yard Zuerich,"Baeckerstrasse 62, Zurich, Switzerland",The Yard Zurich Hotel is a 16-minute walk from Lindenhof hill and features a cash machine and a lift. The boutique hotel is in Aussersihl with a number of…,Good,171 CHF,(734 reviews),47.3758989,8.5276621,11.944817925350469,4,734
60,1732027461-66,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Signau House & Garden Boutique Hotel Zuerich,"6 Signaustrasse, Zurich, Switzerland","Situated an 18-minute walk from Chinese Garden Zurich, the 4-star Signau House & Garden Boutique Hotel Zurich offers meeting rooms with a range of business amenities. This Zurich hotel…",Excellent,332 CHF,(232 reviews),47.36274745,8.556171285,11.834005485350351,4,232
62,1732027461-68,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Swiss Star Zurich Oerlikon - Self Check-In,"Gubelstrasse 64, Zurich, Switzerland","Situated within 5 minutes' walk of SBB Ce 6/8 II Krokodil, Swiss Star Zurich Oerlikon - Self Check-In Apartment offers proximity to various nearby tourist attractions. This apartment features…",Good,139 CHF,(376 reviews),47.4094474,8.5408316,13.465914725350189,2,376
63,1732027461-69,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,Hausteil In Einer Waldlichtung Im Stadtwald,"61 Fuchspass, Zurich, Switzerland",The spacious 75 m² Hausteil In Einer Waldlichtung Im Stadtwald offers views of the garden and a location 3.9 km from Volkshaus Zurich. The 1-bedroom apartment may also organise…,Excellent,273 CHF,(16 reviews),47.40601295,8.519485045,14.71697192535022,1,16
64,1732027461-70,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=6,City Flat,"Zaehringerplatz, 8001 Zuerich, Zurich, Switzerland",City Flat Apartment is located about a 15-minute walk from Swiss National Museum and about a 25-minute walk from Flussbad Oberer Letten Outdoor Swimming Pool. This apartment offers…,Excellent,402 CHF,(1 review),47.3735316,8.544989862,10.979927585350396,5,1
65,1732027463-71,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Opera Hotel Zuerich,"Dufourstrasse 5, Zurich, Switzerland","The 4-star Opera Hotel Zurich is situated just a 5-minute walk from Bellevue Square and provides shuttle service, along with cars for rent. This Zurich hotel is in…",Good,233 CHF,(2369 reviews),47.3463188,8.566172801,13.49111879535051,2,2369
66,1732027463-72,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Ibis Zuerich Messe Airport,"Heidi Abel-Weg 5, Zurich, Switzerland","Situated a 10-minute walk from Glatt, the 3-star Ibis Zurich Messe Airport Hotel includes 252 rooms. The hotel also offers a cash machine and a bureau de change…",Good,113 CHF,(4919 reviews),47.41599765,8.558669467,14.700909977350513,1,4919
67,1732027463-73,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,H+ Hotel Zuerich,"Badenerstrasse 537, Zurich, Switzerland","Featuring a bureau de change and a lift, H+ Hotel Zurich is situated approximately a 20-minute walk from the leading Swiss Industrial Design Museum. Featuring a barber shop and…",Excellent,153 CHF,(6451 reviews),47.38237345,8.500725511,14.657279825350528,1,6451
68,1732027463-74,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Fred Hotel Zuerich Hauptbahnhof,"Limmatstrasse 5, Zurich, Switzerland","Located close to a river, the 3-star Fred Hotel Zurich Hauptbahnhof is also near the entertainment district of Zurich. Boasting setting in the centre of Zurich, this pet-friendly…",Excellent,170 CHF,(847 reviews),47.380197,8.537286048,11.449911253350557,4,847
69,1732027463-75,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Zueri By Fassbind,"Heinrichstrasse 254, Zurich, Switzerland",The 4-star Zuri By Fassbind Hotel Zurich is only 6 minutes' walk from Markthalle and provides bright rooms at a distance of 0.6 km from Limmat. The pet-friendly…,Good,111 CHF,(3582 reviews),47.3894203,8.522041534,13.191561005350264,2,3582
70,1732027463-76,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Greulich Design & Boutique Hotel,"Herman-Greulich-Strasse 56, Zurich, Switzerland","Located approximately 25 minutes on foot from Old Town, the 3-star Greulich Design & Boutique Hotel Zurich offers a bureau de change and a lift. This Zurich hotel is in…",Excellent,198 CHF,(341 reviews),47.3786118,8.5205159,12.61718912535056,3,341
71,1732027463-77,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Fred Guest House Zuerich Hauptbahnhof,"Limmatstr.5, Zurich, Switzerland",The 2-star Fred Guest House Zurich Hauptbahnhof is situated right in the centre of Zurich merely 1.5 km from such shopping venues as Paradeplatz. The guest house also has…,Excellent,135 CHF,(832 reviews),47.380197,8.537286048,11.449911253350557,4,832
74,1732027463-80,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Aparthotel Familie Hugenschmidt,"Karlstrasse 5, Zurich, Switzerland","Situated 700 metres from Botanical Garden of the University of Zurich, the 2-star Aparthotel Familie Hugenschmidt Zurich includes 13 rooms with views of the garden. This refined hotel provides…",Excellent,163 CHF,(376 reviews),47.35543855,8.5572725,12.325344625350247,3,376
75,1732027463-81,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,5-Mins Walk To Zurich Main Station - City Center,"Graebligasse 4, Zurich, Switzerland",The 1-room 5-Mins Walk To Zurich Main Station - City Center is also located within a 500-metre distance of Limmatquai Street. Situated within walking distance of Zurich Christmas…,Good,241 CHF,(15 reviews),47.3755279,8.5442599,11.013223925350488,4,15
76,1732027463-82,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Wohnung Im Trendquartier Zentral - 24-7 Check-In With Keybox,"50 Turbinenstrasse, Zurich, Switzerland","Situated a 6-minute walk from Helsinki Live Music Venue, the spacious 1-bedroom Wohnung Im Trendquartier Zentral - 24-7 Check-In With Keybox offers proximity to various nearby tourist…",Excellent,153 CHF,(39 reviews),47.3867434,8.5140974,13.65569632535037,2,39
77,1732027463-83,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Historisches Chalet Im Herzen Von Zuerich,"56 Niederdorfstrasse, Zurich, Switzerland","Located just 1.1 km from Holmes Place, the 1-room Historisches Chalet Im Herzen Von Zurich features parking for those who travel by car. Zurich Opera House can be reached…",Excellent,255 CHF,(4 reviews),47.3752327,8.544066895,11.002048475350382,4,4
78,1732027463-84,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,"Downtown Dream 3,5Br With Balcony And Style Ba42","Baumackerstrasse 58, Zurich, Switzerland","Set within 20 minutes' walk of Leutschenpark, the spacious 1-bedroom Downtown Dream 3,5Br With Balcony And Style Ba42 Apartment comprises a balcony and a dining place overlooking the…",Good,478 CHF,(8 reviews),47.40994535,8.541602371,13.485224273350497,2,8
79,1732027463-85,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Aparthotel Splendid City Center,"5 Rosengasse, Zurich, Switzerland","Located nearly 5 minutes' walk from Limmat River, Aparthotel Splendid City Center is only 450 metres from Grossmunster.",Good,403 CHF,(19 reviews),47.3732682,8.543263973,10.949232417350384,5,19
80,1732027463-86,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=5,Ground Floor Apartment - Peaceful Living In The City Of Zuerich,"51 Rieterstrasse, Zurich, Switzerland",Spacious 1-bedroom Ground Floor Apartment - Peaceful Living In The City Of Zurich offers views of the garden and a location a 10-minute ride from Old Town. Wi-Fi…,Excellent,335 CHF,(9 reviews),47.35726395,8.52634845,12.623767725350564,3,9
